routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",001001010110,"[""011010100100""]",8,0.001953125,False,False,,,1.6112224593191193,0.07044241599875586,{},{}
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",100000100001,"[""100001000001""]",8,0.001953125,False,False,,,0.9880417967478003,0.03856959719902826,{},{}
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",001000010100,"[""001010000100""]",7,0.001708984375,False,False,,,0.9372109207331988,0.0359698321582454,{},{}
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",001000010110,"[""011010000100""]",7,0.001708984375,False,False,,,2.2360726231316206,0.10240062209263757,{},{}
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",001000100001,"[""100001000100""]",7,0.001708984375,False,False,,,1.0614521219746866,0.04232419700373232,{},{}
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",001010001100,"[""001100010100""]",7,0.001708984375,True,True,"[2, 1, 2, 0]",0.2629122477552374,0.26291224775523725,0.0014825627169158528,"{""degradation"": 0.26839460707821, ""nominal"": 0.24864864864864877, ""surge"": 0.27005376081325444}","{""degradation"": 0.33808137470709426, ""nominal"": 0.03888586216289861, ""surge"": 0.11002095676911952}"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",010001100001,"[""100001100010""]",7,0.001708984375,True,True,"[1, 2, 0, 2]",0.30441938364481785,0.3044193836448177,0.0036054614211946698,"{""degradation"": 0.2746301728980714, ""nominal"": 0.3103629343629345, ""surge"": 0.3400122183666488}","{""degradation"": 0.3664560107931553, ""nominal"": 0.1749523290656499, ""surge"": 0.25896801959572385}"
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",100001001101,"[""101100100001""]",7,0.001708984375,False,False,,,1.7429601594086015,0.07718019221074543,{},{}
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",001010110000,"[""000011010100""]",6,0.00146484375,False,False,,,2.2691313124705563,0.10409142169272272,{},{}
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",001101100001,"[""100001101100""]",6,0.00146484375,False,False,,,1.7870002329113577,0.07943263900023384,{},{}
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",001101100100,"[""001001101100""]",6,0.00146484375,False,False,,,1.821112716213876,0.08117733530487162,{},{}
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",010000000011,"[""110000000010""]",6,0.00146484375,False,False,,,3.0097835350550914,0.14197236938877028,{},{}
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",010000100001,"[""100001000010""]",6,0.00146484375,False,False,,,0.9250139471734103,0.03534601317359949,{},{}
"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",011001000001,"[""100000100110""]",6,0.00146484375,False,False,,,2.521101547720672,0.1169785379551478,{},{}
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",100001010100,"[""001010100001""]",6,0.00146484375,True,False,"[0, 2, 1, 0]",0.27715447202769417,0.27715447202769394,0.0022109868494428215,"{""degradation"": 0.29030179139878914, ""nominal"": 0.2544710424710425, ""surge"": 0.2823014515419578}","{""degradation"": 0.4377689412767168, ""nominal"": 0.05172296377008994, ""surge"": 0.13609725439270093}"
