optimizer_seed,iteration,reported_cost,gamma,beta
6106,0,0.25024804687499996,0.5,0.5
6106,1,0.2736404296875,1.5,0.5
6106,2,0.26264335937500005,0.5,1.5
6106,3,0.2431669921875,-0.38361432115932337,0.03178452455931363
6106,4,0.2563955078125,-0.49945613668010375,-0.9614831502277246
6106,5,0.22858535156249998,-0.7468897662765845,0.3753408532375317
6106,6,0.20555410156249998,-1.4150223429842568,1.1193830966229235
6106,7,0.2397197265625,-3.0149367955086688,2.3194971514541765
6106,8,0.239690625,-0.7505453533706659,1.8666918214977637
6106,9,0.2042041015625,-1.9074447608359553,1.0326642267208819
6201,0,0.259191796875,0.5,0.5
6201,1,0.27688613281249996,1.5,0.5
6201,2,0.2638134765625,0.5,1.5
6201,3,0.251390234375,-0.4675402190963074,0.24728291622632692
6201,4,0.26724375,-1.2967370399040354,-0.3116738194539551
6201,5,0.22978066406249997,-0.6466477816237406,0.7141024542123474
6201,6,0.22659609375,-0.8580520854389928,1.1672119556889646
6201,7,0.209791796875,-1.3480637504999418,1.0677706760099681
6201,8,0.1885634765625,-2.3179378272593367,0.8241638714455004
6201,9,0.1811390625,-3.2578287927812597,1.16563857465244
6202,0,0.250525,0.5,0.5
6202,1,0.278266796875,1.5,0.5
6202,2,0.25640351562499997,0.5,1.5
6202,3,0.22617187500000002,-0.47827782469514135,0.292701910983862
6202,4,0.2632357421875,-2.4192087555903514,-0.18977826632319883
6202,5,0.2477990234375,0.05170907009467807,-0.5553039211606139
6202,6,0.2301033203125,-0.9758340855066295,0.3420756623836728
6202,7,0.22796972656249997,-0.4659343868451887,0.4170909761867341
6202,8,0.2379521484375,-0.3806039391140845,0.06257192146598406
6202,9,0.2357275390625,-0.5280334507762902,0.29763928612384305
6203,0,0.2518138671875,0.5,0.5
6203,1,0.26631718750000005,1.5,0.5
6203,2,0.24709746093749999,0.5,1.5
6203,3,0.2450994140625,-0.4509795625637455,1.8092537333421659
6203,4,0.2509392578125,-0.570398842205997,2.8020976463767
6203,5,0.2346748046875,-0.7247332293839002,1.3908532912982792
6203,6,0.229937890625,-1.1224202781652077,0.4733321682544478
6203,7,0.20677109375,-2.1193033293707075,0.394438681709532
6203,8,0.15995292968750002,-4.074596765524108,0.8149473956922827
6203,9,0.169746484375,-8.00869360825584,1.5380532192120562
6204,0,0.259932421875,0.5,0.5
6204,1,0.28249472656249996,1.5,0.5
6204,2,0.26690605468750006,0.5,1.5
6204,3,0.2488373046875,-0.45540467740008117,0.2047003176397797
6204,4,0.2689025390625,-1.2602614182293483,-0.388768827928623
6204,5,0.23520527343749997,-0.658756224509244,0.6614805145488729
6204,6,0.220469140625,-0.9813605778562546,1.0434836967366095
6204,7,0.2221853515625,-1.5947407120070958,1.8332715233261916
6204,8,0.2133046875,-1.3654828297358808,0.7234054319154488
6204,9,0.2310822265625,-1.7209550570644336,0.371781349125209
